CNPJ,Sigla Vendedor,Fonte,NotaSustentabilidade
00.357.038/0001-16,ELETRONORTE,-,5.0
00.622.416/0001-41,STATKRAFT,Eólica,9.0
07.674.341/0001-91,UTE Uberaba 2,Biomassa,8.0
07.912.062/0001-19,LAGUNA,Biomassa,8.0
07.966.116/0001-29,ALBIOMA,Biomassa,8.0
08.147.388/0001-60,CACH 5 VEADOS A4,Hidrelétrica (PCH),8.0
08.147.432/0001-31,RINCAO S MIGUEL A4,Hidrelétrica (PCH),8.0
08.323.274/0001-23,COPREL,Hidrelétrica (PCH),8.0
08.364.948/0001-38,ALUPAR,-,5.0
09.495.582/0001-07,SAFIRA COM,-,5.0
10.202.852/0001-15,KROMA,-,5.0
12.630.054/0001-10,MAXIMA ENERGIA,-,5.0
13.145.928/0001-06,BRASIL COM,-,5.0
14.143.405/0001-93,CHM,Hidrelétrica (PCH),8.0
14.641.895/0001-58,URE BARUERI,Resíduo Sólido Urbano,8.0
14.676.561/0001-10,VSR,Eólica,9.0
15.116.321/0001-23,SÃO ROQUE ENERGÉTICA,Hidrelétrica (UHE),8.0
15.312.198/0001-16,SOLAR TECNOLOGIA,Solar Fotovoltaica,9.0
15.328.709/0001-98,VSA,Eólica,9.0
15.673.834/0001-35,VSL 2,Eólica,9.0
19.125.927/0001-86,COPEL COM,-,5.0
20.003.699/0002-31,FS AGRISOLUTIONS,Biomassa,8.0
26.537.119/0001-91,VIVAZ ENERGIA,-,5.0
27.059.624/0001-30,LINHA 11 OESTE,Hidrelétrica (PCH),8.0
27.171.295/0001-15,UTE CDL,Biomassa,8.0
28.228.040/0001-04,EÓLICA SERRA DAS VACAS,Eólica,9.0
28.507.748/0001-02,MIRANTE DO OESTE 2,Eólica,9.0
29.166.267/0001-35,BJA A5/21,Solar Fotovoltaica,9.0
32.849.284/0001-81,ELAWAN,Eólica,9.0
33.000.167/0001-01,PETROBRAS PIE,Gás Natural,6.0
35.658.058/0001-01,Panorama,Solar Fotovoltaica,9.0
37.978.223/0001-38,Triângulo,Biomassa,8.0
38.505.151/0001-74,CVW,Biomassa,8.0
39.401.496/0001-40,CSI RDSF,Solar Fotovoltaica,9.0
39.916.142/0001-39,UHE JURUENA,Hidrelétrica (UHE),8.0
40.586.619/0001-44,SANTA LUZIA VII,Solar Fotovoltaica,9.0
40.586.767/0001-69,SANTA LUZIA IX,Solar Fotovoltaica,9.0
40.790.472/0001-00,SANTA LUZIA V,Solar Fotovoltaica,9.0
52.189.420/0001-61,Raízen Paraguaçu,Biomassa,8.0
55.109.565/0001-01,UBZ,Biomassa,8.0
60.855.574/0004-16,ZILOR,Biomassa,8.0
61.082.962/0001-21,MELHORAMENTOS NP,Biomassa,8.0
